REGION,2015,2018,2021p
1stDistrict,5,3,2
2ndDistrict,3,2,3
3rdDistrict,4,3,5
4thDistrict,5,1,4
Abra,29,19,22
Apayao,43,20,7
Benguet,4,6,6
Ifugao,42,15,8
Kalinga,41,12,8
MtProvince,45,25,22
IlocosNorte,8,4,3
IlocosSur,14,7,15
LaUnion,18,4,9
Pangasinan,23,13,18
Batanes,14,10,3
Cagayan,17,16,10
Isabela,18,17,20
NuevaVizcaya,15,16,15
Quirino,28,13,9
Aurora,34,16,22
Bataan,1,8,12
Bulacan,4,5,11
NuevaEcija,21,9,14
Pampanga,5,3,5
Tarlac,17,10,12
Zambales,17,15,24
Batangas,22,11,6
Cavite,9,5,10
Laguna,5,4,10
Quezon,24,13,22
Rizal,6,4,7
Marinduque,17,15,22
OccidentalMindoro,42,22,30
OrientalMindoro,22,11,18
Palawan,18,12,14
Romblon,39,28,40
Albay,26,21,20
CamarinesNorte,44,30,22
CamarinesSur,37,28,39
Catanduanes,43,20,24
Masbate,45,33,28
Sorsogon,57,26,30
Aklan,16,12,20
Antique,26,19,24
Capiz,12,6,9
Guimaras,5,9,10
Iloilo,22,16,18
NegrosOccidental,33,19,22
Bohol,31,21,24
Cebu,24,15,29
NegrosOriental,43,26,29
Siquijor,51,10,3
Biliran,21,20,27
EasternSamar,52,49,38
Leyte,33,28,28
NorthernSamar,60,34,26
SouthernLeyte,41,24,22
Samar,49,29,34
ZamboangadelNorte,61,45,51
ZamboangadelSur,25,24,18
ZamboangaSibugay,36,35,34
IsabelaCity,30,51,17
Bukidnon,54,28,29
Camiguin,36,24,21
LanaodelNorte,46,26,34
MisamisOccidental,45,27,25
MisamisOriental,21,16,19
DavaodelNorte,31,13,11
DavaodelSur,19,12,10
DavaoOriental,31,38,30
DavaodeOro,27,25,24
DavaoOccidentale,NULL,41,43
Cotabato,43,29,32
Sarangani,53,42,41
SouthCotabato,23,18,17
SultanKudarat,50,31,30
CotabatoCity,49,42,40
AgusandelNorte,33,24,31
AgusandelSur,48,38,41
SurigaoDelNorte,37,34,28
SurigaoDelSur,41,25,31
DinagatIslands,44,33,33
Basilan,45,74,54
LanaodelSur,77,71,11
Maguindanao,54,49,38
Sulu,69,82,63
Tawitawi,18,22,37
